molid,smiles,n_pka,datasets,has_exclude,drug_like_pass,filter_reason,mw,logp,hbd,hba,rotb,tpsa,natoms
mol2692,COCCOCc1nc(C(F)(F)F)ccc1C(=O)C1C(=O)C(C)(C)C(=O)C(C)(C)C1=O,1,Caine,False,True,pass,443.42,2.84,0.0,7.0,7.0,99.63,31.0
mol26925,O=C1C=C(C2=C(O)CCCC2=O)CCC1,1,ibond_AttenGpKa,False,True,pass,206.24,2.23,1.0,3.0,1.0,54.37,15.0
mol2693,CS(=O)(=O)c1ccc(C(=O)C2C(=O)C3CCC(C3)C2=O)c([N+](=O)[O-])c1,1,Caine,False,True,pass,365.36,1.37,0.0,7.0,4.0,128.49,25.0
mol26933,O=C1CCC(O)=C1NC(=O)C(F)(F)F,1,ibond_AttenGpKa,False,True,pass,209.12,0.8,2.0,3.0,1.0,66.4,14.0
mol26934,O=C1CCC(=O)C1NC(=O)C(F)(F)F,1,ibond_AttenGpKa,False,True,pass,209.12,-0.03,1.0,3.0,1.0,63.24,14.0
mol2695,Cc1cc(C(=O)C2C(=O)C3CCC(C3)C2=O)c(=O)n(-c2ccccc2)n1,1,Caine,False,True,pass,350.37,1.91,0.0,5.0,3.0,86.1,26.0
mol26954,O=C(NC1C(=O)CCC1=O)c1ccccc1,1,ibond_AttenGpKa,False,True,pass,217.22,0.72,1.0,3.0,2.0,63.24,16.0
mol26955,O=C1CCC(O)=C1NC(=O)c1ccccc1,1,ibond_AttenGpKa,False,True,pass,217.22,1.55,2.0,3.0,2.0,66.4,16.0
mol26956,O=C(CS(=O)(=O)O)CS(=O)(=O)O,1,ibond_AttenGpKa,False,True,pass,218.21,-1.67,2.0,5.0,4.0,125.81,12.0
mol2696,O=C1CCCC(=O)C1C(=O)c1cc2cccnc2nc1C(F)(F)F,1,Caine,False,True,pass,336.27,2.77,0.0,5.0,2.0,76.99,24.0
mol2697,COCCOCc1nc(C(F)(F)F)ccc1C(=O)C1C(=O)CCCC1=O,1,Caine,False,True,pass,373.33,2.38,0.0,6.0,7.0,82.56,26.0
mol2698,COCCOCCc1nc(C(F)(F)F)ccc1C(=O)C1C(=O)C2CCC(C2)C1=O,1,Caine,False,True,pass,413.39,2.67,0.0,6.0,8.0,82.56,29.0
mol26984,COC1=C/C(=N/CCc2ccccc2)CCC1,1,ibond_AttenGpKa,False,True,pass,229.32,3.38,0.0,2.0,4.0,21.59,17.0
mol2699,Cc1cc(C(=O)C2C(=O)CCCC2=O)c(=O)n(-c2ccccc2)n1,1,Caine,False,True,pass,324.34,1.66,0.0,5.0,3.0,86.1,24.0
mol2700,CC1(C)CC(C)(C)C(=O)C(C(=O)c2ccc(C(F)(F)F)cc2[N+](=O)[O-])C1=O,1,Caine,False,True,pass,385.34,4.01,0.0,5.0,3.0,94.35,27.0
mol2701,COCCOCc1nc(C(F)(F)F)ccc1C(=O)C1C(=O)C(C)CC(C)C1=O,1,Caine,False,True,pass,401.38,2.88,0.0,6.0,7.0,82.56,28.0
mol2702,CC1(C)C(=O)C(C(=O)C2CC2)C(=O)C(C)(C)C1=O,1,Caine,False,True,pass,250.29,1.35,0.0,4.0,2.0,68.28,18.0
mol27020,COc1ccc(C(=O)CC(=O)C(F)(F)F)cc1,1,ibond_AttenGpKa,False,True,pass,246.18,2.4,0.0,3.0,4.0,43.37,17.0
mol2703,O=C1CCCC(=O)C1C(=O)C1CC1,1,Caine,False,True,pass,180.2,0.9,0.0,3.0,2.0,51.21,13.0
mol27031,CC1(C)CC(=O)C(NC(=O)C(F)(F)F)C(=O)C1,1,ibond_AttenGpKa,False,True,pass,251.2,0.99,1.0,3.0,1.0,63.24,17.0
mol27032,CC1(C)CC(=O)C(NC(=O)C(F)(F)F)=C(O)C1,1,ibond_AttenGpKa,False,True,pass,251.2,1.82,2.0,3.0,1.0,66.4,17.0
mol2704,O=C1CCCC(=O)C1C(=O)c1ccccc1[N+](=O)[O-],1,Caine,False,True,pass,261.23,1.72,0.0,5.0,3.0,94.35,19.0
mol27047,CC1(C)CC(=O)C(NC(=O)c2ccccc2)=C(O)C1,1,ibond_AttenGpKa,False,True,pass,259.31,2.58,2.0,3.0,2.0,66.4,19.0
mol27048,CC1(C)CC(=O)C(NC(=O)c2ccccc2)C(=O)C1,1,ibond_AttenGpKa,False,True,pass,259.31,1.74,1.0,3.0,2.0,63.24,19.0
mol2705,O=C1CCCC(=O)C1C(=O)c1ccc(Cl)cc1[N+](=O)[O-],1,Caine,False,True,pass,295.68,2.37,0.0,5.0,3.0,94.35,20.0
mol27054,O=C(CC(=O)C(F)(F)F)c1ccc([N+](=O)[O-])cc1,1,ibond_AttenGpKa,False,True,pass,261.15,2.3,0.0,4.0,4.0,77.28,18.0
mol27056,CN1/C(=C/C(=O)c2ccccc2)C=Cc2ccccc21,1,ibond_AttenGpKa,False,True,pass,261.32,3.92,0.0,2.0,2.0,20.31,20.0
mol27058,CN1C=C/C(=C\C(=O)c2ccccc2)c2ccccc21,1,ibond_AttenGpKa,False,True,pass,261.32,3.92,0.0,2.0,2.0,20.31,20.0
mol2706,O=C1CCCC(=O)C1C(=O)c1ccc(C(F)(F)F)cc1[N+](=O)[O-],1,Caine,False,True,pass,329.23,2.73,0.0,5.0,3.0,94.35,23.0
mol27065,O=C1CCC(=O)C1Cc1ccc(Br)cc1,1,ibond_AttenGpKa,False,True,pass,267.12,2.54,0.0,2.0,2.0,34.14,15.0
mol27066,O=C1CC(=O)C(Cc2ccc(Br)cc2)C1,1,ibond_AttenGpKa,False,True,pass,267.12,2.54,0.0,2.0,2.0,34.14,15.0
